"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3479995727539","44.359001159668","44.3650016784668","44.306999206543","44.2379989624023","44.257999420166","44.0009994506836","43.7750015258789","43.6279983520508","43.5460014343262","43.484001159668","43.7599983215332","44.1360015869141","44.5400009155273","44.931999206543","45.3120002746582","44.8689994812012","44.4480018615723","44.117000579834","43.9519996643066","43.9900016784668","44.6240005493164","45.4690017700195","46.4539985656738","47.4959983825684","48.5419998168945","49.3549995422363","50.1059989929199","50.3009986877441","50.4980010986328",
"Angola","AGO","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0149993896484","75.9469985961914","75.8840026855469","75.8239974975586","75.7990036010742","75.8000030517578","75.7979965209961","75.8160018920898","75.8479995727539","75.8840026855469","75.9179992675781","75.9359970092773","75.9509963989258","75.9710006713867","76.0009994506836","76.0410003662109","76.0739974975586","76.1149978637695","76.1579971313477","76.1999969482422","76.2429962158203","76.2770004272461","76.3150024414063","76.3539962768555","76.3850021362305","76.4039993286133","76.4069976806641","76.4029998779297","76.3830032348633","76.3600006103516",
"Albania","ALB","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.1800003051758","60.7080001831055","61.1539993286133","60.3559989929199","59.6419982910156","58.6180000305176","58.0250015258789","58.7869987487793","58.189998626709","57.3440017700195","56.898998260498","56.3419990539551","56.0190010070801","55.257999420166","54.5250015258789","53.8359985351563","53.3759994506836","53.0120010375977","52.7179985046387","51.5180015563965","52.681999206543","54.1730003356934","55.701000213623","51.4109992980957","51.9309997558594","55.6650009155273","55.6310005187988","55.7309989929199","55.9049987792969","56.1450004577637",
"Andorra","AND","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3365606078785","20.4010315266766","20.3003057436178","20.4810554691513","20.8705062183934","20.8723200438879","20.7239354425744","20.4608849401511","20.2482842301456","20.7344689469599","20.7937058136485","20.7184370993895","20.2704285237328","20.5239606989152","20.6528501857415","20.7453460902285","20.9039037603685","21.3706697960233","21.0544975087828","21.2712866205699","21.3772623411002","21.5175625182105","21.7111502390643","22.0448728488167","22.0135374174334","21.811537274363","21.9192539123988","21.8891428158469","21.9160111162505","21.9297271143893",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9759998321533","29.628999710083","30.2409992218018","31.0170001983643","31.4939994812012","31.9230003356934","32.2200012207031","32.632999420166","33.1720008850098","33.7980003356934","34.4309997558594","34.7430000305176","35.2620010375977","35.976001739502","36.8359985351563","37.7569999694824","38.8419990539551","40.0979995727539","41.5069999694824","43.0130004882813","44.5289993286133","45.673999786377","46.7820014953613","47.875","48.9809989929199","50.0979995727539","50.9080009460449","52.064998626709","51.9860000610352","51.9490013122559",
"Argentina","ARG","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4700012207031","51.1110000610352","52.7919998168945","53.9300003051758","55.0029983520508","55.0970001220703","56.0940017700195","57.2770004272461","57.9690017700195","57.8289985656738","57.8470001220703","57.4939994812012","56.2709999084473","56.9550018310547","57.6679992675781","56.6980018615723","57.3460006713867","56.5050010681152","55.6710014343262","56.390998840332","55.351001739502","55.7350006103516","56.0550003051758","55.6800003051758","54.8569984436035","55.6479988098145","56.4179992675781","57.1650009155273","57.0989990234375","57.0340003967285",
"Armenia","ARM","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.185001373291","52.4659996032715","52.7410011291504","52.9939994812012","53.1940002441406","53.3209991455078","53.3300018310547","53.2770004272461","53.1879997253418","53.101001739502","53.0390014648438","53.0200004577637","53.0270004272461","53.0530014038086","53.0849990844727","53.1139984130859","53.1399993896484","53.1660003662109","53.1419982910156","53.3889999389648","54.8470001220703","57.818000793457","57.7929992675781","58.6599998474121","57.9749984741211","57.1790008544922","55.2569999694824","55.4780006408691","55.8230018615723","56.1469993591309",
"American Samoa","ASM","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
