"","year","gdi","countrycode","scenario"
"2",1995,0.934,"ALB","Observed"
"4",1995,0.984,"ARG","Observed"
"5",1995,0.962,"ARM","Observed"
"6",1995,0.963,"AUS","Observed"
"7",1995,0.936,"AUT","Observed"
"8",1995,0.967,"AZE","Observed"
"10",1995,0.923,"BHR","Observed"
"11",1995,0.698,"BGD","Observed"
"12",1995,0.974,"BRB","Observed"
"13",1995,1.007,"BLR","Observed"
"14",1995,0.967,"BEL","Observed"
"16",1995,0.725,"BEN","Observed"
"20",1995,0.977,"BWA","Observed"
"22",1995,0.962,"BRN","Observed"
"23",1995,0.991,"BGR","Observed"
"25",1995,0.832,"BDI","Observed"
"27",1995,0.835,"KHM","Observed"
"29",1995,0.974,"CAN","Observed"
"30",1995,0.728,"CAF","Observed"
"32",1995,0.923,"CHL","Observed"
"33",1995,0.911,"CHN","Observed"
"34",1995,0.941,"COL","Observed"
"36",1995,0.866,"COG","Observed"
"39",1995,0.949,"HRV","Observed"
"40",1995,0.9,"CUB","Observed"
"41",1995,0.933,"CYP","Observed"
"42",1995,0.973,"CZE","Observed"
"43",1995,0.734,"CIV","Observed"
"44",1995,0.964,"DNK","Observed"
"47",1995,0.795,"EGY","Observed"
"48",1995,0.931,"SLV","Observed"
"49",1995,1.016,"EST","Observed"
"50",1995,0.901,"SWZ","Observed"
"53",1995,1.002,"FIN","Observed"
"54",1995,0.982,"FRA","Observed"
"55",1995,0.945,"GAB","Observed"
"56",1995,0.761,"GMB","Observed"
"58",1995,0.943,"DEU","Observed"
"59",1995,0.838,"GHA","Observed"
"60",1995,0.931,"GRC","Observed"
"65",1995,0.913,"HND","Observed"
"67",1995,0.987,"HUN","Observed"
"68",1995,0.981,"ISL","Observed"
"69",1995,0.712,"IND","Observed"
"70",1995,0.884,"IDN","Observed"
"71",1995,0.75,"IRN","Observed"
"72",1995,0.665,"IRQ","Observed"
"73",1995,0.96,"IRL","Observed"
"74",1995,0.96,"ISR","Observed"
"75",1995,0.946,"ITA","Observed"
"76",1995,0.978,"JAM","Observed"
"77",1995,0.953,"JPN","Observed"
"78",1995,0.799,"JOR","Observed"
"79",1995,1.004,"KAZ","Observed"
"80",1995,0.891,"KEN","Observed"
"81",1995,0.928,"KOR","Observed"
"82",1995,0.952,"KWT","Observed"
"83",1995,0.951,"KGZ","Observed"
"84",1995,0.827,"LAO","Observed"
"85",1995,1.017,"LVA","Observed"
"87",1995,1.006,"LSO","Observed"
"88",1995,0.599,"LBR","Observed"
"90",1995,1.01,"LTU","Observed"
"93",1995,0.874,"MWI","Observed"
"95",1995,0.858,"MDV","Observed"
"96",1995,0.697,"MLI","Observed"
"97",1995,0.905,"MLT","Observed"
"98",1995,0.766,"MRT","Observed"
"99",1995,0.91,"MUS","Observed"
"100",1995,0.901,"MEX","Observed"
"101",1995,0.979,"MDA","Observed"
"102",1995,0.972,"MNG","Observed"
"104",1995,0.745,"MAR","Observed"
"105",1995,0.796,"MOZ","Observed"
"106",1995,0.888,"MMR","Observed"
"107",1995,0.966,"NAM","Observed"
"108",1995,0.75,"NPL","Observed"
"109",1995,0.947,"NLD","Observed"
"110",1995,0.971,"NZL","Observed"
"112",1995,0.695,"NER","Observed"
"114",1995,0.981,"NOR","Observed"
"116",1995,0.599,"PAK","Observed"
"119",1995,0.853,"PNG","Observed"
"120",1995,0.932,"PRY","Observed"
"122",1995,0.955,"PHL","Observed"
"123",1995,0.985,"POL","Observed"
"124",1995,0.97,"PRT","Observed"
"125",1995,0.987,"QAT","Observed"
"126",1995,0.958,"ROU","Observed"
"128",1995,0.838,"RWA","Observed"
"132",1995,0.781,"SEN","Observed"
"136",1995,0.999,"SVK","Observed"
"137",1995,0.986,"SVN","Observed"
"138",1995,0.969,"ZAF","Observed"
"140",1995,0.962,"ESP","Observed"
"141",1995,0.915,"LKA","Observed"
"144",1995,1,"SWE","Observed"
"145",1995,0.94,"CHE","Observed"
"146",1995,0.796,"SYR","Observed"
"147",1995,0.889,"TJK","Observed"
"148",1995,0.887,"TZA","Observed"
"149",1995,0.977,"THA","Observed"
"152",1995,0.745,"TGO","Observed"
"153",1995,0.93,"TON","Observed"
"154",1995,0.952,"TTO","Observed"
"155",1995,0.811,"TUN","Observed"
"156",1995,0.835,"TUR","Observed"
"157",1995,0.847,"UGA","Observed"
"158",1995,1,"UKR","Observed"
"159",1995,0.951,"ARE","Observed"
"160",1995,0.965,"GBR","Observed"
"161",1995,0.993,"USA","Observed"
"162",1995,1.003,"URY","Observed"
"164",1995,0.968,"VEN","Observed"
"165",1995,0.944,"VNM","Observed"
"166",1995,0.61,"YEM","Observed"
"168",1995,0.906,"ZWE","Observed"
"198",2000,0.932,"ALB","Observed"
"199",2000,0.785,"DZA","Observed"
"200",2000,0.983,"ARG","Observed"
"201",2000,0.937,"ARM","Observed"
