"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.4039993286133","84.3529968261719","84.2880020141602","84.2050018310547","84.1050033569336","83.984001159668","83.9700012207031","83.984001159668","84.0169982910156","84.0589981079102","84.1050033569336","84.1640014648438","84.2419967651367","84.3339996337891","84.4369964599609","84.5429992675781","84.5009994506836","84.4589996337891","84.4039993286133","84.3170013427734","84.1949996948242","84.0940017700195","83.9960021972656","83.9160003662109","83.8730010986328","83.8720016479492","83.8190002441406","83.7949981689453","83.7959976196289","83.8030014038086",
"Angola","AGO","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2480010986328","81.2910003662109","81.2559967041016","81.2910003662109","81.1060028076172","80.8850021362305","80.8519973754883","80.8109970092773","80.7490005493164","80.6800003051758","80.5950012207031","80.6289978027344","80.693000793457","80.6510009765625","80.572998046875","80.4550018310547","80.463996887207","80.4240036010742","80.4140014648438","80.463996887207","80.4879989624023","80.5810012817383","80.6119995117188","80.5820007324219","80.5189971923828","80.4160003662109","80.3339996337891","80.2009963989258","80.1129989624023","80.0199966430664",
"Albania","ALB","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.8290023803711","78.072998046875","78.0859985351563","78.1259994506836","78.0029983520508","77.6829986572266","77.8519973754883","78.2639999389648","78.4010009765625","78.3820037841797","78.3769989013672","78.0910034179688","77.8320007324219","76.8190002441406","75.7470016479492","74.6529998779297","73.765998840332","72.9469985961914","72.1719970703125","73.015998840332","71.7590026855469","72.9160003662109","74.0350036621094","70.7099990844727","72.5329971313477","74.2959976196289","74.4140014648438","74.609001159668","74.8290023803711","75.0839996337891",
"Andorra","AND","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.4426095027257","78.4562475764245","78.3777582965523","78.3864256519334","78.4796652540113","78.1728497255727","77.8436794198938","77.6054443349736","77.2803945114528","77.5917306544142","77.5091159009904","76.9967435501994","76.8978879720477","76.8213835167598","76.764363962954","76.7163558432887","76.6053915500804","76.6337942595004","76.9722504683273","77.0595278103522","77.54141329694","77.6705561862446","77.7601369697855","78.006989501263","77.683360211744","77.2097536196338","76.8567430894514","76.8903497375493","76.9633219458835","77.0254113332599",
"United Arab Emirates","ARE","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0619964599609","91.0490036010742","91.3619995117188","91.9540023803711","92.4720001220703","92.9509963989258","92.1419982910156","91.6959991455078","91.6600036621094","91.9440002441406","92.3460006713867","91.4860000610352","91.2829971313477","91.6100006103516","92.3040008544922","93.1579971313477","92.3860015869141","92.4889984130859","93.1549987792969","94.0920028686523","95.0299987792969","94.8880004882813","94.8030014038086","94.8349990844727","95.0319976806641","95.3509979248047","94.7289962768555","94.2279968261719","94.0839996337891","94.1689987182617",
"Argentina","ARG","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4980010986328","82.4049987792969","82.2289962768555","81.9169998168945","81.6829986572266","81.4020004272461","81.3369979858398","81.4169998168945","81.5120010375977","81.5690002441406","81.6699981689453","81.6989974975586","81.6389999389648","81.8759994506836","82.0970001220703","81.8850021362305","81.9670028686523","81.5780029296875","81.1660003662109","81.1910018920898","80.9649963378906","81.1989974975586","81.0260009765625","80.8399963378906","80.1579971313477","80.1029968261719","80.0130004882813","79.8919982910156","79.8420028686523","79.7929992675781",
"Armenia","ARM","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7030029296875","72.9089965820313","73.0410003662109","73.088996887207","73.0370025634766","72.8720016479492","72.5299987792969","72.120002746582","71.6660003662109","71.1999969482422","70.7480010986328","70.5780029296875","70.4609985351563","70.4089965820313","70.4449996948242","70.5749969482422","70.8339996337891","71.1640014648438","71.4550018310547","72.0090026855469","76.4369964599609","75.6380004882813","75.3079986572266","75.4160003662109","75.7249984741211","75.0759963989258","74.6829986572266","74.8560028076172","75.1510009765625","75.3649978637695",
"American Samoa","ASM","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.0709991455078","84.2009963989258","83.7529983520508","83.4380035400391","83.5550003051758","83.8600006103516","83.7600021362305","83.1709976196289","82.9530029296875","82.5979995727539","82.4440002441406","82.3000030517578","82.2509994506836","82.0429992675781","82.0690002441406","82.6559982299805","82.7119979858398","82.9100036621094","82.9660034179688","82.5019989013672","82.8109970092773","82.7529983520508","82.3809967041016","82.3059997558594","82.0989990234375","82.7089996337891","82.3639984130859","82.6429977416992","82.6480026245117","82.6380004882813",
"Austria","AUT","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.1620025634766","80.4020004272461","80.6070022583008","80.4580001831055","80.5149993896484","80.7099990844727","80.2760009765625","79.7279968261719","79.8050003051758","80.0550003051758","79.8190002441406","78.9150009155273","79.568000793457","79.6500015258789","76.2070007324219","77.7880020141602","78.2770004272461","79.3960037231445","79.6119995117188","79.7269973754883","79.9020004272461","79.9929962158203","80.3130035400391","80.4290008544922","79.9260025024414","80.0279998779297","80.6669998168945","80.8840026855469","80.7839965820313","80.6729965209961",
"Azerbaijan","AZE","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0199966430664","73.2679977416992","74.1780014038086","74.9100036621094","75.3300018310547","75.4970016479492","75.572998046875","75.5609970092773","75.4729995727539","75.3610000610352","74.9089965820313","74.4869995117188","74.0970001220703","73.7269973754883","73.3619995117188","72.9990005493164","72.6460037231445","72.3099975585938","72.0070037841797","71.7480010986328","71.5390014648438","71.3310012817383","71.5800018310547","72.0169982910156","72.5019989013672","72.7809982299805","73.9929962158203","74.3649978637695","74.2259979248047","74.068000793457",
"Burundi","BDI","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1039962768555","90.6419982910156","90.0759963989258","89.4100036621094","88.6600036621094","87.8359985351563","87.1169967651367","86.3270034790039","85.4589996337891","84.6380004882813","83.7710037231445","83.0630035400391","82.4020004272461","81.7949981689453","81.2470016479492","80.754997253418","80.2979965209961","79.8659973144531","79.4550018310547","79.0719985961914","78.7229995727539","78.2760009765625","77.8629989624023","77.4700012207031","77.0759963989258","77.4219970703125","77.7289962768555","78.0199966430664","78.0579986572266","78.0390014648438",
"Belgium","BEL","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2730026245117","71.8610000610352","71.6500015258789","71.2399978637695","72.0770034790039","72.3889999389648","72.3300018310547","72.2880020141602","72.5289993286133","73.1019973754883","73.8099975585938","72.6190032958984","72.5179977416992","72.3840026855469","72.5699996948242","73.9199981689453","73.5279998779297","73.879997253418","73.5410003662109","72.9589996337891","73.5260009765625","72.2720031738281","72.4000015258789","72.6969985961914","72.4879989624023","72.2939987182617","72.4649963378906","72.8330001831055","72.7590026855469","72.6750030517578",
"Benin","BEN","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.5950012207031","89.5979995727539","89.5579986572266","88.7160034179688","87.8300018310547","86.8990020751953","85.8990020751953","84.8460006713867","83.7399978637695","82.5839996337891","81.379997253418","80.1350021362305","78.8499984741211","78.197998046875","77.5210037231445","76.8249969482422","76.1050033569336","75.3679962158203","74.6220016479492","73.8759994506836","73.1389999389648","74.0279998779297","73.9700012207031","73.875","73.7789993286133","73.7220001220703","73.6849975585938","73.6240005493164","73.640998840332","73.6579971313477",
"Burkina Faso","BFA","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.7419967651367","91.7610015869141","91.4960021972656","91.2089996337891","90.9130020141602","90.6009979248047","90.2990036010742","89.9929962158203","89.6750030517578","89.3529968261719","89.0350036621094","88.7320022583008","88.4280014038086","88.1110000610352","87.7880020141602","87.4449996948242","87.1149978637695","86.0830001831055","84.9729995727539","83.7819976806641","82.5029983520508","81.1520004272461","79.7060012817383","78.1569976806641","76.5019989013672","76.4169998168945","76.3320007324219","76.2229995727539","76.0820007324219","75.9339981079102",
"Bangladesh","BGD","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.359001159668","89.2730026245117","89.1969985961914","89.1279983520508","89.0690002441406","89.0169982910156","88.8089981079102","88.6149978637695","88.431999206543","88.254997253418","88.0800018310547","87.9039993286133","87.75","87.6100006103516","87.4739990234375","87.3379974365234","87.1549987792969","86.6809997558594","86.1940002441406","85.6880035400391","85.161003112793","84.6470031738281","84.1259994506836","83.5930023193359","83.0459976196289","82.4860000610352","81.9329986572266","84.0230026245117","83.9250030517578","83.8320007324219",
"Bulgaria","BGR","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4540023803711","71.5230026245117","71.5770034790039","70.9670028686523","70.3550033569336","69.7600021362305","69.2360000610352","68.7239990234375","68.1719970703125","67.5059967041016","66.6839981079102","67.9599990844727","67.1490020751953","66.3690032958984","67.4800033569336","67.375","69.4100036621094","71.3830032348633","73.6009979248047","72.7630004882813","71.1969985961914","69.9550018310547","70.9420013427734","72.1949996948242","72.9609985351563","73.2649993896484","72.8430023193359","75.5910034179688","75.6869964599609","75.7160034179688",
"Bahrain","BHR","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6149978637695","89.0210037231445","88.8219985961914","88.8460006713867","89.0329971313477","89.2669982910156","88.6719970703125","88.2030029296875","87.9660034179688","87.9769973754883","88.1510009765625","87.2669982910156","86.6790008544922","86.5999984741211","86.875","87.3030014038086","86.9199981689453","86.9369964599609","87.2630004882813","87.7689971923828","88.2969970703125","87.5960006713867","87.8619995117188","88.052001953125","88.177001953125","88.1429977416992","88.0849990844727","88.2600021362305","88.3990020751953","88.6419982910156",
"Bahamas, The","BHS","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9140014648438","82.9629974365234","83.9729995727539","84.9130020141602","85.7020034790039","85.7020034790039","85.6920013427734","85.6500015258789","85.3860015869141","85.0199966430664","84.8870010375977","85.0070037841797","85.1569976806641","85.4380035400391","85.5279998779297","85.4850006103516","85.5739974975586","85.7190017700195","85.9960021972656","86.3130035400391","86.3410034179688","86.4589996337891","86.5120010375977","86.7770004272461","87.1039962768555","87.5260009765625","87.7959976196289","87.9580001831055","88.245002746582","88.4769973754883",
"Bosnia and Herzegovina","BIH","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.2679977416992","67.3720016479492","67.4919967651367","67.609001159668","67.6910018920898","67.7229995727539","67.7639999389648","67.7679977416992","67.7689971923828","67.8079986572266","67.875","68.0289993286133","68.2360000610352","68.447998046875","68.6259994506836","69.0999984741211","69.0559997558594","68.947998046875","68.8040008544922","68.6849975585938","68.5429992675781","68.3949966430664","68.1920013427734","67.9570007324219","67.7399978637695","67.911003112793","68.6900024414063","68.9380035400391","69.1890029907227","69.4300003051758",
"Belarus","BLR","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.9219970703125","73.8710021972656","74.0090026855469","74.1869964599609","74.3769989013672","74.4729995727539","74.3880004882813","74.1449966430664","73.9179992675781","73.8099975585938","74.0709991455078","74.463996887207","74.9489974975586","75.4729995727539","75.9649963378906","76.3939971923828","76.7369995117188","77.0630035400391","77.3970031738281","77.7590026855469","78.1539993286133","78.6110000610352","79.0950012207031","79.5739974975586","79.9960021972656","80.3219985961914","80.5550003051758","80.4899978637695","80.3949966430664","80.2610015869141",
"Belize","BLZ","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.5479965209961","84.2779998779297","83.8649978637695","83.7389984130859","83.9240036010742","84.265998840332","84.4209976196289","84.2129974365234","84.0709991455078","84.0210037231445","84.0589981079102","84.0469970703125","84.0709991455078","84.0989990234375","84.0960006713867","84.0459976196289","84.3960037231445","84.6740036010742","84.9039993286133","85.0999984741211","85.2819976806641","85.515998840332","85.7630004882813","85.0559997558594","84.2740020751953","83.3919982910156","83.5490036010742","83.7419967651367","83.8450012207031","83.9729995727539",
"Bermuda","BMU","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0910034179688","83.1350021362305","82.9420013427734","82.9000015258789","82.8899993896484","82.9000015258789","82.9550018310547","83.0640029907227","82.9800033569336","82.8649978637695","82.7149963378906","83.0479965209961","83.3789978027344","83.7009963989258","84.0100021362305","84.302001953125","84.6029968261719","83.5199966430664","83.2779998779297","83.3870010375977","83.7470016479492","83.9729995727539","81.8629989624023","81.5670013427734","83.8050003051758","81.7180023193359","83.0240020751953","80.8850021362305","80.9489974975586","81.0199966430664",
"Brazil","BRA","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4440002441406","86.1080017089844","85.75","85.3690032958984","84.9670028686523","84.5459976196289","82.7259979248047","83.2419967651367","82.7429962158203","82.6360015869141","82.0579986572266","81.4980010986328","81.6890029907227","81.431999206543","81.9690017700195","82.1880035400391","81.5859985351563","81.5009994506836","81.6569976806641","81.7220001220703","81.072998046875","80.4140014648438","81.0309982299805","81.0339965820313","80.7679977416992","80.6729965209961","80.3830032348633","80.1230010986328","80.1699981689453","80.2190017700195",
"Barbados","BRB","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.4599990844727","82.879997253418","84.2269973754883","85.0380020141602","85.6679992675781","86.3690032958984","84.3379974365234","85.4049987792969","85.197998046875","84.9570007324219","84.7099990844727","84.5670013427734","84.4359970092773","84.2990036010742","85.1380004882813","84.7730026245117","84.3550033569336","83.8830032348633","83.375","82.8550033569336","82.2649993896484","82.2070007324219","81.7289962768555","81.4130020141602","79.0110015869141","80.2350006103516","80.7119979858398","80.5910034179688","80.3669967651367","80.1500015258789",
"Brunei Darussalam","BRN","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8249969482422","83.7490005493164","83.4440002441406","83.2300033569336","83.1060028076172","83.0339965820313","82.7590026855469","82.5559997558594","82.4209976196289","82.3249969482422","82.2210006713867","81.4680023193359","80.947998046875","80.5999984741211","80.4000015258789","80.265998840332","79.6330032348633","79.0630035400391","78.6419982910156","78.3740005493164","78.1790008544922","77.9260025024414","77.5660018920898","77.1429977416992","76.7200012207031","76.3300018310547","75.9580001831055","75.5970001220703","75.4789962768555","75.3710021972656",
"Bhutan","BTN","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.1969985961914","78.7369995117188","78.302001953125","77.890998840332","77.4980010986328","77.1419982910156","76.7949981689453","76.4779968261719","76.1940002441406","75.9390029907227","75.7149963378906","75.4850006103516","75.4660034179688","75.6760025024414","76.0759963989258","76.5810012817383","76.7570037841797","76.9599990844727","77.1900024414063","77.4400024414063","76.0220031738281","74.4240036010742","69.1190032958984","74.6230010986328","73.7910003662109","76.2080001831055","76.4079971313477","76.609001159668","76.8430023193359","77.0270004272461",
