Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size by Broad Age (000's)"
"De facto population in a country or region, classified by sex and by broad age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>"
"Multiple Scenarios"
" "
"Scenario","Area","Year","Age","Sex","Population"
"SSP2","Afghanistan",2015,"0--14","Male",7705.2
"SSP2","Afghanistan",2020,"0--14","Male",8503.1
"SSP2","Afghanistan",2030,"0--14","Male",10916.4
"SSP2","Afghanistan",2050,"0--14","Male",13532.6
"SSP2","Afghanistan",2100,"0--14","Male",10486.6
"SSP2","Albania",2015,"0--14","Male",273.3
"SSP2","Albania",2020,"0--14","Male",248.2
"SSP2","Albania",2030,"0--14","Male",217.1
"SSP2","Albania",2050,"0--14","Male",124
"SSP2","Albania",2100,"0--14","Male",37
"SSP2","Algeria",2015,"0--14","Male",5829.5
"SSP2","Algeria",2020,"0--14","Male",6480.9
"SSP2","Algeria",2030,"0--14","Male",5803.7
"SSP2","Algeria",2050,"0--14","Male",5026.6
"SSP2","Algeria",2100,"0--14","Male",3049.7
"SSP2","Angola",2015,"0--14","Male",6524.7
"SSP2","Angola",2020,"0--14","Male",7315.8
"SSP2","Angola",2030,"0--14","Male",8118.8
"SSP2","Angola",2050,"0--14","Male",8663.8
"SSP2","Angola",2100,"0--14","Male",6674.2
"SSP2","Antigua and Barbuda",2015,"0--14","Male",12.3
"SSP2","Antigua and Barbuda",2020,"0--14","Male",11.9
"SSP2","Antigua and Barbuda",2030,"0--14","Male",11.4
"SSP2","Antigua and Barbuda",2050,"0--14","Male",9.7
"SSP2","Antigua and Barbuda",2100,"0--14","Male",6.8
"SSP2","Argentina",2015,"0--14","Male",5563.9
"SSP2","Argentina",2020,"0--14","Male",5586.4
"SSP2","Argentina",2030,"0--14","Male",5385.9
"SSP2","Argentina",2050,"0--14","Male",4963.4
"SSP2","Argentina",2100,"0--14","Male",3502.6
"SSP2","Armenia",2015,"0--14","Male",309.2
"SSP2","Armenia",2020,"0--14","Male",310.7
"SSP2","Armenia",2030,"0--14","Male",251.3
"SSP2","Armenia",2050,"0--14","Male",187.8
"SSP2","Armenia",2100,"0--14","Male",112.8
"SSP2","Aruba",2015,"0--14","Male",10
"SSP2","Aruba",2020,"0--14","Male",9.1
"SSP2","Aruba",2030,"0--14","Male",8.5
"SSP2","Aruba",2050,"0--14","Male",7.4
"SSP2","Aruba",2100,"0--14","Male",6.8
"SSP2","Australia",2015,"0--14","Male",2302.9
"SSP2","Australia",2020,"0--14","Male",2430.6
"SSP2","Australia",2030,"0--14","Male",2529.8
"SSP2","Australia",2050,"0--14","Male",2632.3
"SSP2","Australia",2100,"0--14","Male",3077.9
"SSP2","Austria",2015,"0--14","Male",629.1
"SSP2","Austria",2020,"0--14","Male",635.4
"SSP2","Austria",2030,"0--14","Male",641.4
"SSP2","Austria",2050,"0--14","Male",605.8
"SSP2","Austria",2100,"0--14","Male",674
"SSP2","Azerbaijan",2015,"0--14","Male",1180.8
"SSP2","Azerbaijan",2020,"0--14","Male",1233.6
"SSP2","Azerbaijan",2030,"0--14","Male",1046.7
"SSP2","Azerbaijan",2050,"0--14","Male",859.5
"SSP2","Azerbaijan",2100,"0--14","Male",569
"SSP2","Bahamas",2015,"0--14","Male",41
"SSP2","Bahamas",2020,"0--14","Male",42.8
"SSP2","Bahamas",2030,"0--14","Male",42.8
"SSP2","Bahamas",2050,"0--14","Male",39.1
"SSP2","Bahamas",2100,"0--14","Male",36
"SSP2","Bahrain",2015,"0--14","Male",146.9
"SSP2","Bahrain",2020,"0--14","Male",159.7
"SSP2","Bahrain",2030,"0--14","Male",151.4
"SSP2","Bahrain",2050,"0--14","Male",153.5
"SSP2","Bahrain",2100,"0--14","Male",130.2
"SSP2","Bangladesh",2015,"0--14","Male",24221
"SSP2","Bangladesh",2020,"0--14","Male",23345.6
"SSP2","Bangladesh",2030,"0--14","Male",22222.1
"SSP2","Bangladesh",2050,"0--14","Male",17949
"SSP2","Bangladesh",2100,"0--14","Male",10009.1
"SSP2","Barbados",2015,"0--14","Male",28.2
"SSP2","Barbados",2020,"0--14","Male",25.9
"SSP2","Barbados",2030,"0--14","Male",20.6
"SSP2","Barbados",2050,"0--14","Male",15.9
"SSP2","Barbados",2100,"0--14","Male",9.6
"SSP2","Belarus",2015,"0--14","Male",787.3
"SSP2","Belarus",2020,"0--14","Male",824
"SSP2","Belarus",2030,"0--14","Male",702.3
"SSP2","Belarus",2050,"0--14","Male",628.4
"SSP2","Belarus",2100,"0--14","Male",532.6
"SSP2","Belgium",2015,"0--14","Male",981.2
"SSP2","Belgium",2020,"0--14","Male",1000.9
"SSP2","Belgium",2030,"0--14","Male",982.7
"SSP2","Belgium",2050,"0--14","Male",980.1
"SSP2","Belgium",2100,"0--14","Male",981.6
"SSP2","Belize",2015,"0--14","Male",59
"SSP2","Belize",2020,"0--14","Male",59.7
"SSP2","Belize",2030,"0--14","Male",61.1
"SSP2","Belize",2050,"0--14","Male",55
"SSP2","Belize",2100,"0--14","Male",34.5
"SSP2","Benin",2015,"0--14","Male",2308.7
"SSP2","Benin",2020,"0--14","Male",2526.2
"SSP2","Benin",2030,"0--14","Male",2757.9
"SSP2","Benin",2050,"0--14","Male",2814.8
"SSP2","Benin",2100,"0--14","Male",2104.3
"SSP2","Bhutan",2015,"0--14","Male",109.6
"SSP2","Bhutan",2020,"0--14","Male",108.8
"SSP2","Bhutan",2030,"0--14","Male",106.4
"SSP2","Bhutan",2050,"0--14","Male",91.8
"SSP2","Bhutan",2100,"0--14","Male",57.3
"SSP2","Bolivia (Plurinational State of)",2015,"0--14","Male",1771.5
"SSP2","Bolivia (Plurinational State of)",2020,"0--14","Male",1795.7
"SSP2","Bolivia (Plurinational State of)",2030,"0--14","Male",1820.1
"SSP2","Bolivia (Plurinational State of)",2050,"0--14","Male",1693.8
"SSP2","Bolivia (Plurinational State of)",2100,"0--14","Male",1102.8
"SSP2","Bosnia and Herzegovina",2015,"0--14","Male",263.8
"SSP2","Bosnia and Herzegovina",2020,"0--14","Male",241
"SSP2","Bosnia and Herzegovina",2030,"0--14","Male",195.3
"SSP2","Bosnia and Herzegovina",2050,"0--14","Male",102.5
"SSP2","Bosnia and Herzegovina",2100,"0--14","Male",26.1
"SSP2","Botswana",2015,"0--14","Male",354.2
"SSP2","Botswana",2020,"0--14","Male",370.2
"SSP2","Botswana",2030,"0--14","Male",358.7
"SSP2","Botswana",2050,"0--14","Male",316.3
"SSP2","Botswana",2100,"0--14","Male",219.5
"SSP2","Brazil",2015,"0--14","Male",23663.7
"SSP2","Brazil",2020,"0--14","Male",22823.7
"SSP2","Brazil",2030,"0--14","Male",20976.6
"SSP2","Brazil",2050,"0--14","Male",16122.4
"SSP2","Brazil",2100,"0--14","Male",10387.6
"SSP2","Brunei Darussalam",2015,"0--14","Male",50.7
"SSP2","Brunei Darussalam",2020,"0--14","Male",50.6
"SSP2","Brunei Darussalam",2030,"0--14","Male",49.3
"SSP2","Brunei Darussalam",2050,"0--14","Male",43.3
"SSP2","Brunei Darussalam",2100,"0--14","Male",34.9
"SSP2","Bulgaria",2015,"0--14","Male",516.9
"SSP2","Bulgaria",2020,"0--14","Male",509.2
"SSP2","Bulgaria",2030,"0--14","Male",422.6
"SSP2","Bulgaria",2050,"0--14","Male",323.5
"SSP2","Bulgaria",2100,"0--14","Male",169.8
"SSP2","Burkina Faso",2015,"0--14","Male",4200.2
"SSP2","Burkina Faso",2020,"0--14","Male",4689.7
"SSP2","Burkina Faso",2030,"0--14","Male",5424.8
"SSP2","Burkina Faso",2050,"0--14","Male",6211.5
"SSP2","Burkina Faso",2100,"0--14","Male",4937
"SSP2","Burundi",2015,"0--14","Male",2281.6
"SSP2","Burundi",2020,"0--14","Male",2543.5
"SSP2","Burundi",2030,"0--14","Male",2526.3
"SSP2","Burundi",2050,"0--14","Male",2292.9
"SSP2","Burundi",2100,"0--14","Male",1375.1
"SSP2","Cambodia",2015,"0--14","Male",2496.5
"SSP2","Cambodia",2020,"0--14","Male",2629.8
"SSP2","Cambodia",2030,"0--14","Male",2552.3
"SSP2","Cambodia",2050,"0--14","Male",2290.1
"SSP2","Cambodia",2100,"0--14","Male",1408.4
"SSP2","Cameroon",2015,"0--14","Male",4955.3
"SSP2","Cameroon",2020,"0--14","Male",5358.8
"SSP2","Cameroon",2030,"0--14","Male",5457.5
"SSP2","Cameroon",2050,"0--14","Male",5110.7
"SSP2","Cameroon",2100,"0--14","Male",3561
"SSP2","Canada",2015,"0--14","Male",2945.6
"SSP2","Canada",2020,"0--14","Male",3077.8
"SSP2","Canada",2030,"0--14","Male",3229.4
"SSP2","Canada",2050,"0--14","Male",3337.3
"SSP2","Canada",2100,"0--14","Male",3996.8
"SSP2","Cape Verde",2015,"0--14","Male",83.8
"SSP2","Cape Verde",2020,"0--14","Male",82.4
"SSP2","Cape Verde",2030,"0--14","Male",79.6
"SSP2","Cape Verde",2050,"0--14","Male",63.6
"SSP2","Cape Verde",2100,"0--14","Male",27.8
"SSP2","Central African Republic",2015,"0--14","Male",989.9
"SSP2","Central African Republic",2020,"0--14","Male",1015.6
"SSP2","Central African Republic",2030,"0--14","Male",1023
"SSP2","Central African Republic",2050,"0--14","Male",913.2
"SSP2","Central African Republic",2100,"0--14","Male",522.4
"SSP2","Chad",2015,"0--14","Male",3359.8
"SSP2","Chad",2020,"0--14","Male",3733.1
"SSP2","Chad",2030,"0--14","Male",4306.9
"SSP2","Chad",2050,"0--14","Male",4622.6
"SSP2","Chad",2100,"0--14","Male",3628.2
"SSP2","Channel Islands",2015,"0--14","Male",12.2
"SSP2","Channel Islands",2020,"0--14","Male",12.4
"SSP2","Channel Islands",2030,"0--14","Male",12.5
"SSP2","Channel Islands",2050,"0--14","Male",12.9
"SSP2","Channel Islands",2100,"0--14","Male",14.7
"SSP2","Chile",2015,"0--14","Male",1885.5
"SSP2","Chile",2020,"0--14","Male",1836.4
"SSP2","Chile",2030,"0--14","Male",1692.3
"SSP2","Chile",2050,"0--14","Male",1367.6
"SSP2","Chile",2100,"0--14","Male",901.9
"SSP2","China",2015,"0--14","Male",132700.9
"SSP2","China",2020,"0--14","Male",128816.6
"SSP2","China",2030,"0--14","Male",104568.6
"SSP2","China",2050,"0--14","Male",77977.6
"SSP2","China",2100,"0--14","Male",42014.4
"SSP2","Colombia",2015,"0--14","Male",5978.9
"SSP2","Colombia",2020,"0--14","Male",5798.7
"SSP2","Colombia",2030,"0--14","Male",5530.5
"SSP2","Colombia",2050,"0--14","Male",4493.6
"SSP2","Colombia",2100,"0--14","Male",2510.5
"SSP2","Comoros",2015,"0--14","Male",158.8
"SSP2","Comoros",2020,"0--14","Male",172.2
"SSP2","Comoros",2030,"0--14","Male",178.5
"SSP2","Comoros",2050,"0--14","Male",173.6
"SSP2","Comoros",2100,"0--14","Male",112.7
"SSP2","Congo",2015,"0--14","Male",1066.9
"SSP2","Congo",2020,"0--14","Male",1168.9
"SSP2","Congo",2030,"0--14","Male",1211.6
"SSP2","Congo",2050,"0--14","Male",1220.5
"SSP2","Congo",2100,"0--14","Male",877.2
"SSP2","Costa Rica",2015,"0--14","Male",548.7
"SSP2","Costa Rica",2020,"0--14","Male",542.3
"SSP2","Costa Rica",2030,"0--14","Male",505.7
"SSP2","Costa Rica",2050,"0--14","Male",410.6
"SSP2","Costa Rica",2100,"0--14","Male",296.5
"SSP2","Cote d'Ivoire",2015,"0--14","Male",4951.2
"SSP2","Cote d'Ivoire",2020,"0--14","Male",5368.1
"SSP2","Cote d'Ivoire",2030,"0--14","Male",5620.8
"SSP2","Cote d'Ivoire",2050,"0--14","Male",5239.7
"SSP2","Cote d'Ivoire",2100,"0--14","Male",3848.4
"SSP2","Croatia",2015,"0--14","Male",322.9
"SSP2","Croatia",2020,"0--14","Male",315.7
"SSP2","Croatia",2030,"0--14","Male",276.4
"SSP2","Croatia",2050,"0--14","Male",229.9
"SSP2","Croatia",2100,"0--14","Male",184.2
"SSP2","Cuba",2015,"0--14","Male",960.1
"SSP2","Cuba",2020,"0--14","Male",908.7
"SSP2","Cuba",2030,"0--14","Male",748.9
"SSP2","Cuba",2050,"0--14","Male",505.2
"SSP2","Cuba",2100,"0--14","Male",197.8
"SSP2","Curaçao",2015,"0--14","Male",15.3
"SSP2","Curaçao",2020,"0--14","Male",14.6
"SSP2","Curaçao",2030,"0--14","Male",13.3
"SSP2","Curaçao",2050,"0--14","Male",11.8
"SSP2","Curaçao",2100,"0--14","Male",11.4
"SSP2","Cyprus",2015,"0--14","Male",101.3
"SSP2","Cyprus",2020,"0--14","Male",105
"SSP2","Cyprus",2030,"0--14","Male",107.8
"SSP2","Cyprus",2050,"0--14","Male",95
"SSP2","Cyprus",2100,"0--14","Male",91.1
"SSP2","Czech Republic",2015,"0--14","Male",823.8
"SSP2","Czech Republic",2020,"0--14","Male",849
"SSP2","Czech Republic",2030,"0--14","Male",751.4
"SSP2","Czech Republic",2050,"0--14","Male",701.3
"SSP2","Czech Republic",2100,"0--14","Male",596.1
"SSP2","Democratic People's Republic of Korea",2015,"0--14","Male",2722.2
"SSP2","Democratic People's Republic of Korea",2020,"0--14","Male",2554.2
"SSP2","Democratic People's Republic of Korea",2030,"0--14","Male",2259.1
"SSP2","Democratic People's Republic of Korea",2050,"0--14","Male",1678.5
"SSP2","Democratic People's Republic of Korea",2100,"0--14","Male",958.2
"SSP2","Democratic Republic of the Congo",2015,"0--14","Male",17798.4
"SSP2","Democratic Republic of the Congo",2020,"0--14","Male",20146.5
"SSP2","Democratic Republic of the Congo",2030,"0--14","Male",22746.4
"SSP2","Democratic Republic of the Congo",2050,"0--14","Male",24724.4
"SSP2","Democratic Republic of the Congo",2100,"0--14","Male",19264.8
"SSP2","Denmark",2015,"0--14","Male",491.4
"SSP2","Denmark",2020,"0--14","Male",487.9
"SSP2","Denmark",2030,"0--14","Male",520.1
"SSP2","Denmark",2050,"0--14","Male",529.3
"SSP2","Denmark",2100,"0--14","Male",576.6
"SSP2","Djibouti",2015,"0--14","Male",150.3
"SSP2","Djibouti",2020,"0--14","Male",153.5
"SSP2","Djibouti",2030,"0--14","Male",164.1
"SSP2","Djibouti",2050,"0--14","Male",156.2
"SSP2","Djibouti",2100,"0--14","Male",129.9
"SSP2","Dominican Republic",2015,"0--14","Male",1606.1
"SSP2","Dominican Republic",2020,"0--14","Male",1601.9
"SSP2","Dominican Republic",2030,"0--14","Male",1537.9
"SSP2","Dominican Republic",2050,"0--14","Male",1338.3
"SSP2","Dominican Republic",2100,"0--14","Male",737.2
"SSP2","Ecuador",2015,"0--14","Male",2393.4
"SSP2","Ecuador",2020,"0--14","Male",2429.1
"SSP2","Ecuador",2030,"0--14","Male",2363
"SSP2","Ecuador",2050,"0--14","Male",2104.9
"SSP2","Ecuador",2100,"0--14","Male",1361
"SSP2","Egypt",2015,"0--14","Male",16008
"SSP2","Egypt",2020,"0--14","Male",17312.2
"SSP2","Egypt",2030,"0--14","Male",16865.1
"SSP2","Egypt",2050,"0--14","Male",15895.6
"SSP2","Egypt",2100,"0--14","Male",10250.5
"SSP2","El Salvador",2015,"0--14","Male",912.7
"SSP2","El Salvador",2020,"0--14","Male",880.4
"SSP2","El Salvador",2030,"0--14","Male",817.1
"SSP2","El Salvador",2050,"0--14","Male",613.2
"SSP2","El Salvador",2100,"0--14","Male",236.6
"SSP2","Equatorial Guinea",2015,"0--14","Male",222.9
"SSP2","Equatorial Guinea",2020,"0--14","Male",254.6
"SSP2","Equatorial Guinea",2030,"0--14","Male",275
"SSP2","Equatorial Guinea",2050,"0--14","Male",284.2
"SSP2","Equatorial Guinea",2100,"0--14","Male",220.6
"SSP2","Eritrea",2015,"0--14","Male",1045.5
"SSP2","Eritrea",2020,"0--14","Male",1109.5
"SSP2","Eritrea",2030,"0--14","Male",1120.1
"SSP2","Eritrea",2050,"0--14","Male",1116.3
"SSP2","Eritrea",2100,"0--14","Male",705.8
"SSP2","Estonia",2015,"0--14","Male",109
"SSP2","Estonia",2020,"0--14","Male",111.4
"SSP2","Estonia",2030,"0--14","Male",97.6
"SSP2","Estonia",2050,"0--14","Male",92.8
"SSP2","Estonia",2100,"0--14","Male",86.8
"SSP2","Ethiopia",2015,"0--14","Male",21028.5
"SSP2","Ethiopia",2020,"0--14","Male",22340.8
"SSP2","Ethiopia",2030,"0--14","Male",24726.2
"SSP2","Ethiopia",2050,"0--14","Male",23393.8
"SSP2","Ethiopia",2100,"0--14","Male",11061.6
"SSP2","Fiji",2015,"0--14","Male",132.3
"SSP2","Fiji",2020,"0--14","Male",130.6
"SSP2","Fiji",2030,"0--14","Male",114.2
"SSP2","Fiji",2050,"0--14","Male",89.5
"SSP2","Fiji",2100,"0--14","Male",35.2
"SSP2","Finland",2015,"0--14","Male",459.4
"SSP2","Finland",2020,"0--14","Male",470.1
"SSP2","Finland",2030,"0--14","Male",470.8
"SSP2","Finland",2050,"0--14","Male",463.7
"SSP2","Finland",2100,"0--14","Male",444.6
"SSP2","France",2015,"0--14","Male",6029.4
"SSP2","France",2020,"0--14","Male",6034.8
"SSP2","France",2030,"0--14","Male",5978.3
"SSP2","France",2050,"0--14","Male",6167
"SSP2","France",2100,"0--14","Male",6098.2
"SSP2","French Guiana",2015,"0--14","Male",46.6
"SSP2","French Guiana",2020,"0--14","Male",48.5
"SSP2","French Guiana",2030,"0--14","Male",48.2
"SSP2","French Guiana",2050,"0--14","Male",51.5
"SSP2","French Guiana",2100,"0--14","Male",45.6
"SSP2","French Polynesia",2015,"0--14","Male",33.9
"SSP2","French Polynesia",2020,"0--14","Male",33.7
"SSP2","French Polynesia",2030,"0--14","Male",34.2
"SSP2","French Polynesia",2050,"0--14","Male",32.3
"SSP2","French Polynesia",2100,"0--14","Male",27.5
"SSP2","Gabon",2015,"0--14","Male",348.3
"SSP2","Gabon",2020,"0--14","Male",381.9
"SSP2","Gabon",2030,"0--14","Male",375.6
"SSP2","Gabon",2050,"0--14","Male",347.3
