"","countrycode","year","mmr","abr","scenario","edu.f","edu.m","id","parl.f","flfp","mlfp","parl.m","health","empower","lfpr","gf","gm","gfm","harm","gii"
"3","DZA",1995,192,18.6414,"SSP2",0.412,0.569,"DZA1995",0.032,0.125629997253418,0.813929977416992,0.968,0.500698490099098,0.428487611833155,0.469779987335205,0.0913571108802122,0.845331304110196,0.465374970108076,0.16489373508671,0.645675539772978
"4","AGO",1995,1000,206.7,"SSP2",0.037,0.12,"AGO1995",0.095,0.758000030517578,0.808850021362305,0.905,0.500012094823416,0.194416288248404,0.783425025939942,0.0678662547770827,0.643567797004245,0.423874085597015,0.122784496942355,0.710327898981093
"5","ARG",1995,63,71.3026,"SSP2",0.417,0.398,"ARG1995",0.228,0.550970001220703,0.814020004272461,0.772,0.500556537064322,0.431325369024628,0.682495002746582,0.200130592967381,0.766999512573916,0.528184767078031,0.317434161913917,0.399009245060222
"6","ARM",1995,50,61.962,"SSP2",0.888,0.918,"ARM1995",0.063,0.533209991455078,0.728720016479492,0.937,0.500806946192828,0.581988093282959,0.630965003967285,0.192786124732204,0.877574398318128,0.568673824472901,0.31612557408938,0.444100360373728
"7","AUS",1995,10,20.0218,"SSP2",0.845,0.884,"AUS1995",0.205,0.640619964599609,0.838600006103516,0.795,0.51248638983508,0.627261411750331,0.739609985351563,0.390587252207963,0.889176929523012,0.619504631782716,0.542758077756726,0.123883745316221
"8","AUT",1995,10,17.029,"SSP2",0.753,0.881,"AUT1995",0.247,0.622830009460449,0.807099990844727,0.753,0.514680838569499,0.622878074709071,0.714965000152588,0.402260115454622,0.869502686600921,0.611986640930176,0.550049506928281,0.101206676517897
"9","AZE",1995,86,40.412,"SSP2",0.882,0.939,"AZE1995",0.12,0.608349990844727,0.754970016479492,0.88,0.500719335035184,0.617176026486756,0.681660003662109,0.219781605322342,0.882066399309368,0.595009282172401,0.351885139195598,0.408605630636798
"10","BHS",1995,49,64.9984,"SSP2",0.827,0.838,"BHS1995",0.196,0.727750015258789,0.857020034790039,0.804,0.500784948678172,0.61171524195268,0.792385025024414,0.254158446253161,0.889365618157966,0.623800343496318,0.395338918868162,0.366241261342788
"12","BGD",1995,479,130.3522,"SSP2",0.148,0.283,"BGD1995",0.091,0.256040000915527,0.890169982910156,0.909,0.50004003926808,0.311623470647707,0.573104991912841,0.0721789918011963,0.767154261080601,0.446981666814573,0.13194382786735,0.704811544492079
"15","BEL",1995,10,10.4338,"SSP2",0.734,0.758,"BEL1995",0.158,0.518230018615723,0.723889999389648,0.842,0.523960589622189,0.5697216793411,0.621060009002686,0.379454139717929,0.833145926258715,0.570205818208704,0.521426114971178,0.0855475368363764
"16","BLZ",1995,55,112.4424,"SSP2",0.313,0.312,"BLZ1995",0.108,0.380019989013672,0.84265998840332,0.892,0.500404247378698,0.355701950037238,0.611339988708496,0.141106828175734,0.763198249777732,0.477415680738315,0.238177329578037,0.501111213587079
"17","BEN",1995,550,124.4002,"SSP2",0.049,0.138,"BEN1995",0.072,0.612700004577637,0.868990020751953,0.928,0.500036538964933,0.208628638780595,0.740845012664795,0.0760571584672332,0.677500219350176,0.425958879090758,0.136761295321528,0.678933103558128
"18","BTN",1995,636,93.8808,"SSP2",0.07,0.175,"BTN1995",0.02,0.551959991455078,0.771419982910156,0.98,0.500041870303726,0.225771079342356,0.661689987182617,0.0644146853131157,0.683608806698329,0.421156086059988,0.117735463206746,0.720446962293272
"21","BWA",1995,238,80.257,"SSP2",0.332,0.36,"BWA1995",0.085,0.498569984436035,0.75411003112793,0.915,0.500130882062383,0.37096094445377,0.626340007781983,0.124210477524552,0.756424357538995,0.487985972455852,0.213382044225722,0.562729143315637
"22","BRA",1995,84,84.048,"SSP2",0.442,0.41,"BRA1995",0.067,0.506339988708496,0.845459976196289,0.933,0.500354106043712,0.395288642067119,0.675899982452393,0.14856932251422,0.805641694859217,0.511318390289161,0.25087457305599,0.509357422262642
"24","BGR",1995,24,55.635,"SSP2",0.847,0.908,"BGR1995",0.108,0.631549987792969,0.697600021362305,0.892,0.501872322578712,0.601207219804585,0.664575004577637,0.254738086552722,0.856269770772693,0.585311618953277,0.392660630690184,0.329142600325643
"25","BFA",1995,636,143.493,"SSP2",0.032,0.08,"BFA1995",0.108,0.753430023193359,0.906009979248047,0.892,0.500027393793496,0.16296033976991,0.829720001220703,0.0773978014831115,0.62318950946031,0.407382553602396,0.137694466303179,0.66200205412437
"27","CPV",1995,150,104.9778,"SSP2",0.138,0.192,"CPV1995",0.111,0.503650016784668,0.854280014038086,0.889,0.500158763725918,0.268454975373015,0.678965015411377,0.116246131045918,0.706698083667527,0.450065350762482,0.199651243851371,0.556394991275978
"28","KHM",1995,730,57.619,"SSP2",0.081,0.169,"KHM1995",0.058,0.807809982299805,0.867020034790039,0.942,0.500059436254261,0.233769099268284,0.837415008544922,0.0948652475758971,0.701992780282006,0.460875006659431,0.167143246525265,0.637334973452407
"29","CMR",1995,749,168.244,"SSP2",0.134,0.242,"CMR1995",0.056,0.790839996337891,0.879059982299805,0.944,0.50001983894648,0.28229398646182,0.834949989318848,0.0848219226272584,0.748980878071236,0.490286319623389,0.152386147026213,0.689189477807034
"30","CAN",1995,10,22.1266,"SSP2",0.884,0.874,"CAN1995",0.212,0.677890014648438,0.815530014038086,0.788,0.511298617953052,0.631396597834277,0.746710014343262,0.396611514991657,0.877983305479951,0.622361822682722,0.546398405722288,0.122056678594117
"31","CAF",1995,1000,152.3118,"SSP2",0.028,0.094,"CAF1995",0.035,0.674209976196289,0.803560028076172,0.965,0.500016413698742,0.166242980191212,0.738885002136231,0.0555069220505054,0.623182577181628,0.394549480594147,0.101934527568173,0.741643234671932
"32","TCD",1995,1000,217.0974,"SSP2",0.014,0.077,"TCD1995",0.024,0.650820007324219,0.799150009155273,0.976,0.500011515568588,0.146234476915355,0.724985008239746,0.0432614502660119,0.602836481983123,0.375652487929229,0.0807294968212162,0.785095269124305
"33","CHL",1995,41,66.6114,"SSP2",0.705,0.733,"CHL1995",0.072,0.400379981994629,0.818809967041016,0.928,0.500915393007144,0.525028367078223,0.609594974517823,0.176071467694195,0.87734357229483,0.543245546686525,0.293284535689994,0.460125283163653
"35","COL",1995,105,100.3644,"SSP2",0.38,0.367,"COL1995",0.098,0.560309982299805,0.861780014038086,0.902,0.500237230769172,0.384166112390591,0.711044998168946,0.149342322171631,0.791487826570061,0.515067384469621,0.251273048910347,0.5121549985754
"36","COM",1995,563,102.645,"SSP2",0.121,0.244,"COM1995",0.001,0.313050003051758,0.534770011901855,0.999,0.500043260727125,0.252358258926048,0.423910007476807,0.0356473924051798,0.641526943343331,0.376790192592066,0.0675417288594595,0.820744461540208
